Apotheker,chemist
Arzt,doctor
Astronaut,astronaut
Autor,author
Bäcker,baker
Bauarbeiter,construction worker
Bauer,farmer
Bergarbeiter,miner
Bestattungsunternehmer,undertaker
Biologe,biologist
Busfahrer,bus driver
Chefkoch,chef
Chirurg,surgeon
Elektriker,electrician
Feuerwehrmann,firefighter
Fernfahrer,truck driver
Fitnesstrainer,fitness instructor
Fleischer,butcher
Fliesenleger,tiler
Florist/in,florist
Gärtner,gardener
Glaser,glazier
Grafiker,graphic designer
Hausmeister,caretaker
Ingenieur,engineer
Jäger,hunter
Journalist,journalist
Kellner/in,waiter/waitress
Kindergärtnerin,nursery-school teacher
Kinderpfleger,childcare assistant
Klempner,plumber
Kundenberater,customer adviser
Krankenschwester,nurse
Lehrer,teacher
Maler,painter
Maurer,bricklayer
Mechaniker,mechanic
Modell,(fashion) model
Modedesigner,fashion designer
Pilot,pilot
Polizist,police officer
Reiseleiter,tour guide
Sanitäter,paramedic
Sänger/in,vocalist
Schauspieler/in,actor/actress
Sekretärin,secretary
Sozialarbeiter,social worker
Taxifahrer,cab driver
Techniker,engineer
Tierarzt,vet
Tischler,carpenter
Trainer,coach
Verkäufer/in,shop assistant
Zahnarzt,dentist
Zoologe,zoologist
